ID,NAME,ADDRESS,PHONE,ADULT_PSC,CHILD_PSC,UP_DATE
61,桃園市大溪區衛生所,桃園市大溪區仁愛路１號,(03)3882401,1637,1194,2020-10-22
62,桃園市楊梅區衛生所,桃園市楊梅區校前路４０９號,(03)4750151,2313,679,2020-10-22
63,桃園市大園區衛生所,桃園市大園區田心里中正西路１９號,(03)3862024,3744,454,2020-10-22
64,桃園市八德區衛生所,桃園市八德區大華里介壽路二段３６１巷２８號,(03)3662781,2064,1169,2020-10-22
65,桃園市龍潭區衛生所,桃園市龍潭區中正路２１０號１至２樓,(03)4792033,2715,859,2020-10-22
66,桃園市平鎮區衛生所,桃園市平鎮區新富里１鄰振興路１號,(03)4576624,1179,930,2020-10-22
67,桃園市新屋區衛生所,桃園市新屋區新屋里中山路２３９號,(03)4772018,2395,1027,2020-10-22
68,桃園市觀音區衛生所,桃園市觀音區觀新路５８號,(03)4732031,3144,1285,2020-10-22
69,桃園市復興區衛生所,桃園市復興區澤仁里中正路２５號,(03)3822325,2178,50,2020-10-22
3452,家佳藥局,桃園市桃園區瑞慶里莊一街８０號,(03)3175618,4710,589,2020-10-22
3453,均康藥局,桃園市桃園區中聖里國鼎一街２７號１樓之４,(03)2170172,3186,150,2020-10-22
3454,新華興清溪藥局,桃園市桃園區東門里中山東路１０號１樓,(03)3330011,3004,30,2020-10-22
3455,宏偉藥師藥局,桃園市桃園區上海路５５號,(03)3698551,4816,300,2020-10-22
3456,世興藥局,桃園市桃園區桃鶯路４５２號２樓,(03)3635470,252,160,2020-10-22
3457,維美藥局,桃園市桃園區成功路二段８７號１樓,(03)3359033,1209,499,2020-10-22
3458,泓德藥局,桃園市桃園區中正路１０８９號之１,(03)3169816,2040,1108,2020-10-22
3459,大愛藥師藥局,桃園市桃園區中正路４３５號,(03)3376771,2558,373,2020-10-22
3460,幸運草健保藥局,桃園市桃園區縣府路２８０號,(03)3379977,3747,170,2020-10-22
3461,維格藥局,桃園市桃園區大興西路二段１２９號,(03)3016639,1008,109,2020-10-22
3462,大興藥局,桃園市桃園區大德一街９６號,(03)3266868,4543,920,2020-10-22
3463,新生藥局,桃園市桃園區新民街４號１樓,(03)3354011,1395,940,2020-10-22
3464,家福聯合藥局,桃園市桃園區中山路６２３號,(03)2289492,4158,1142,2020-10-22
3465,文安藥局,桃園市桃園區中正路６９９號,(03)3558999,2325,107,2020-10-22
3466,必安藥局,桃園市桃園區永樂街６４號,(03)3324010,2799,860,2020-10-22
3467,三芳藥局,桃園市桃園區民族路２３２號,(03)3390986,3080,1177,2020-10-22
3468,郁祥藥局,桃園市桃園區成功里春日路２１６號,(03)3335495,4483,698,2020-10-22
3469,明光藥局,桃園市桃園區中山東路１１７之１號,(03)3380427,3582,300,2020-10-22
3470,正安藥局,桃園市桃園區東山里安東街５８號,(03)3329461,2609,690,2020-10-22
3471,中山藥局,桃園市桃園區玉山里復興路３６９號,(03)3346614,3375,310,2020-10-22
3472,永祥大藥局,桃園市桃園區永安路５２８號,(03)3337161,999,930,2020-10-22
3473,健安藥局,桃園市桃園區北門里民生路２９５號,(03)3344624,3978,830,2020-10-22
3474,長鴻藥師藥局,桃園市桃園區中興里永安路２７７之５號,(03)3324728,3546,196,2020-10-22
3475,聖昌藥師藥局,桃園市桃園區莊敬里中正路１２３８號１樓,(03)3266654,4851,922,2020-10-22
3476,吉生藥局,桃園市桃園區延平路３２號,(03)3626220,4743,20,2020-10-22
3477,悅藥坊人文藥局,桃園市桃園區桃智路６號,(03)3761688,2970,1390,2020-10-22
3478,迦南藥局,桃園市桃園區國聖一街６１號１樓之１,(03)3609938,0,540,2020-10-22
3479,美德藥師藥局,桃園市桃園區中正路２３０號,(03)3354160,1008,140,2020-10-22
3480,益兒康藥局,桃園市桃園區國際路二段４０號,(03)3798851,2684,843,2020-10-22
3481,桃園大興藥局,桃園市桃園區大興西路二段７６巷３號,(03)3013222,2653,270,2020-10-22
3482,天濟堂藥局,桃園市桃園區桃鶯路３８８之８號,(03)3614983,3062,593,2020-10-22
3483,中平啄木鳥藥局,桃園市桃園區中平路１３６號,(03)2207457,4071,690,2020-10-22
3484,南門藥局,桃園市桃園區南華街５３號,(03)3335395,3105,480,2020-10-22
3485,熊寶寶藥局,桃園市桃園區延平路１１１號,(03)3636915,378,20,2020-10-22
3486,永明藥師藥局,桃園市桃園區永安路２６４號,(03)3343606,1421,1199,2020-10-22
3487,仁悅藥局,桃園市桃園區中山路６８號,(03)3361718,2286,360,2020-10-22
3488,桃康藥局,桃園市桃園區桃鶯路２０３號,(03)3641815,3483,1110,2020-10-22
3489,北桃藥師藥局,桃園市桃園區中正路３５２號,(03)3366816,1872,30,2020-10-22
3490,龍城藥局,桃園市桃園區龍壽里龍城五街６０號,(03)2170662,4415,647,2020-10-22
3491,合新藥局,桃園市桃園區自強路８９號１樓,(03)3325290,1620,79,2020-10-22
3492,大象健保藥局,桃園市桃園區龍安街１２７號,(03)3797028,1458,900,2020-10-22
3493,躍獅省桃藥局,桃園市桃園區龍壽街２４號,(03)3791488,1744,1178,2020-10-22
3494,合豐藥局,桃園市桃園區中山東路８２號,(03)3394007,2646,808,2020-10-22
3495,妮妮藥局,桃園市桃園區天祥三街３８號,(03)3585982,3275,860,2020-10-22
3496,芳鄰藥局,桃園市桃園區昆明路３９號,(03)3679498,2277,624,2020-10-22
3497,桃園中正藥局,桃園市桃園區中正路３７３號,(03)3381600,4117,0,2020-10-22
3498,欣立藥局,桃園市桃園區龍安街１８１－１號１樓,(03)3792001,3012,0,2020-10-22
3499,和康藥局,桃園市桃園區三民路三段５６９號１樓,(03)3672399,5346,564,2020-10-22
3500,乙川藥局,桃園市桃園區中正路５７６號,(03)3368758,36,662,2020-10-22
3501,杏昌藥局,桃園市桃園區同安里中正路１１００號１樓,(03)3573268,36,0,2020-10-22
3502,新華興藥局,桃園市桃園區中正路６６５號,(03)3267777,2574,530,2020-10-22
3503,桃元松藥局,桃園市桃園區建華三街４２號,(03)3611066,2743,230,2020-10-22
3504,金安藥局,桃園市桃園區南華街１４８號,(03)3398088,3814,929,2020-10-22
3505,桃園春日藥局,桃園市桃園區春日路８７８號,(03)3580101,3413,470,2020-10-22
3506,星欣藥局,桃園市桃園區國鼎一街１７號１樓,(03)3700552,1053,790,2020-10-22
3507,桃園民光藥局,桃園市桃園區中正路５６９號,(03)3364888,43,689,2020-10-22
3508,桃園寶山藥局,桃園市桃園區寶山街７２號,(03)3250562,5345,204,2020-10-22
3509,桃園中山藥局,桃園市桃園區中山路７０７號,(03)2207168,3630,9,2020-10-22
3510,大滝藥局,桃園市桃園區龍壽街７４－２號,(03)3607258,4698,290,2020-10-22
3511,全球龍安藥局,桃園市桃園區龍安街１１１號,(03)3609639,3285,200,2020-10-22
3512,桃園大有藥局,桃園市桃園區大有路５５６號,(03)3460793,2174,69,2020-10-22
3513,莊敬長青藥師藥局,桃園市桃園區莊敬路一段３２３號１樓,(03)3587676,3627,240,2020-10-22
3514,益壽藥局,桃園市桃園區中山路８２８、８３０、８３２、８３４、８３６號,(03)3693100,5987,199,2020-10-22
3515,桃鶯藥局,桃園市桃園區桃鶯路１０２號,(03)3675100,3402,880,2020-10-22
3516,康橋藥局,桃園市桃園區國際路１０２９號,(03)2173588,3914,640,2020-10-22
3517,合祥藥局,桃園市桃園區國際路二段８號１樓,(03)3703010,1174,596,2020-10-22
3518,安慶藥局,桃園市桃園區安慶街９１號,(03)3027267,2456,890,2020-10-22
3519,同德辰安藥局,桃園市桃園區同德十街２５號,3012028,3609,850,2020-10-22
3520,力行藥局,桃園市桃園區力行路９８號,(03)3391368,3196,974,2020-10-22
3521,大廟藥局,桃園市桃園區中山路１５８號１樓,3337006,4752,470,2020-10-22
3522,奇美大藥局,桃園市桃園區中正五街１８５號,3587727,3717,1313,2020-10-22
3523,桃園南平藥局,桃園市桃園區南平路３０２－１號１樓,(03)3165222,3463,757,2020-10-22
3524,新資生民安大藥局,桃園市桃園區民安路９８號１樓,(03)3310098,3852,780,2020-10-22
3525,佳赫藥局,桃園市桃園區龍壽街４８號,(03)3701037,5681,1031,2020-10-22
3526,榮生藥師藥局,桃園市桃園區民生路２７５號一樓,(03)3396120,4167,658,2020-10-22
3527,立人堂藥局,桃園市桃園區中山路397號,(03)3372239,4419,1060,2020-10-22
3528,全安藥師藥局,桃園市桃園區寶慶路４２９號,(03)3023107,1818,760,2020-10-22
3529,同德藥局（原為桃得藥師藥局）,桃園市桃園區同德十街４３號,(03)2150270,5049,170,2020-10-22
3530,達安藥師藥局,桃園市桃園區大有路６４６號一樓,(03)3583582,3562,206,2020-10-22
3531,保安藥師藥局,桃園市桃園區春日路一三七二號,(03)3578722,3933,740,2020-10-22
3532,新永安藥師藥局,桃園市桃園區永安路４６６號,(03)3471180,4055,0,2020-10-22
3533,五代全民藥局,桃園市桃園區中山路九十七號,(03)3355001,3420,128,2020-10-22
3534,品一藥局,桃園市桃園區建新街７６號,(03)3638510,3005,570,2020-10-22
3535,民富大藥局,桃園市桃園區大有路４８８號,(03)3469976,1026,990,2020-10-22
3536,聖欣藥局,桃園市桃園區中山路５２３號一樓,(03)3328832,3781,837,2020-10-22
3537,滿庭芳藥局,桃園市桃園區三民路三段２８２號,(03)3379496,3122,943,2020-10-22
3538,均安藥局,桃園市桃園區寶山街６１號,(03)3581695,2106,807,2020-10-22
3539,大一藥局,桃園市桃園區中山路684之一號一樓,(03)2171836,2313,368,2020-10-22
3540,慈安藥局,桃園市桃園區永安路３８３號,(03)3369599,2736,1017,2020-10-22
3541,馨丰藥局,桃園市桃園區育樂街23號1樓,(03)3319628,4414,340,2020-10-22
3542,同生藥師藥局,桃園市桃園區永安路二五九號一樓,(03)3349791,1485,800,2020-10-22
3543,親子藥局,桃園市桃園區南平路１９５號,(03)3172318,3051,1357,2020-10-22
3544,莘莘藥局,桃園市桃園區莊敬路一段３６８號,(03)3170681,3322,1420,2020-10-22
3545,正欣藥局,桃園市桃園區莊敬路一段三四二之六號一樓,(03)3174677,3681,808,2020-10-22
3546,元氣藥局,桃園市桃園區民光東路一Ｏ九號,(03)3332201,3231,718,2020-10-22
3547,悅民藥局,桃園市桃園區中山東路１１９－１號,(03)3350452,3996,160,2020-10-22
3548,力美藥局,桃園市桃園區永安路三七七號,(03)3334191,3434,1080,2020-10-22
3549,康泰藥局,桃園市桃園區大業路一段三二三號,(03)3588299,892,247,2020-10-22
3550,永忻藥局,桃園市桃園區大興路一九三號一樓,(03)3587669,1746,980,2020-10-22
3551,昌維藥師藥局,桃園市桃園區縣府路二二號二樓,(03)3315091,1467,70,2020-10-22
3552,啄木鳥藥局,桃園市桃園區南平路４１１號,(03)3467698,4977,360,2020-10-22
3553,大國民藥局,桃園市桃園區中正路５７８號１樓,(03)3355575,16,1050,2020-10-22
3554,大心藥局,桃園市桃園區中平路１４１號,(03)2209842,0,8,2020-10-22
3555,佑您康聯合藥局,桃園市桃園區寶山街３８５號,(03)3463999,1686,1177,2020-10-22
3556,大田大藥局,桃園市桃園區中正路３８０號,(03)3372886,1220,910,2020-10-22
3557,德泰藥局,桃園市中壢區健行路１２７號,(03)4686457,2490,0,2020-10-22
3558,回生藥局,桃園市中壢區福州二街４０８號,(03)4616483,1712,197,2020-10-22
3559,日進藥局,桃園市中壢區中山東路二段１５６號,(03)4569132,2178,900,2020-10-22
3560,新元藥局,桃園市中壢區龍平里龍東路４４號,(03)4563356,625,858,2020-10-22
3561,禾安藥局,桃園市中壢區福德路５２號１F,(03)4627066,3870,389,2020-10-22
3562,生富藥師藥局,桃園市中壢區新明里中央西路二段７６號,(03)4941475,4044,220,2020-10-22
3563,國泰藥局,桃園市中壢區中正路３４２號,(03)4937136,0,202,2020-10-22
3564,崧德堂藥局,桃園市中壢區文化路３６２號,(03)4555035,2,385,2020-10-22
3565,成星藥局,桃園市中壢區水尾里環北路４３７號,(03)4528435,502,1010,2020-10-22
3566,立昇藥局,桃園市中壢區成功里成功路１２３號,(03)4557032,2682,210,2020-10-22
3567,仁德堂藥局,桃園市中壢區中山路４８１號,(03)4936375,3019,1026,2020-10-22
3568,廣怡藥局,桃園市中壢區華勛街２５６號,(03)4366885,2917,413,2020-10-22
3569,井田藥局,桃園市中壢區東興里中北路二段八號一樓,(03)4572003,3654,850,2020-10-22
3570,新生藥師藥局,桃園市中壢區民權路５２號,(03)4919796,2016,830,2020-10-22
3571,優良藥局,桃園市中壢區長春路２０號,(03)4612336,4572,602,2020-10-22
3572,懷仁藥師健保藥局,桃園市中壢區中北路９３號１樓,(03)4378466,3669,860,2020-10-22
3573,全球永美大藥局,桃園市中壢區中山東路二段５３０號１至２樓,(03)4661839,4482,130,2020-10-22
3574,領耀大藥局,桃園市中壢區中央里元化路９７號１樓,(03)4253038,4194,780,2020-10-22
3575,同慶大藥局,桃園市中壢區健行路５２、５４號１樓,(03)4688239,4500,453,2020-10-22
3576,日光健康藥局,桃園市中壢區華祥一街２號１樓,(03)4383559,3656,630,2020-10-22
3577,立康專業藥局,桃園市中壢區莊敬路８６５號,(03)4553121,4752,1257,2020-10-22
3578,慧中健保藥局,桃園市中壢區成章二街１４１號１樓,(03)4556129,2974,1028,2020-10-22
3579,億源藥局,桃園市中壢區林森路１７６號,(03)4595111,2796,1219,2020-10-22
3580,躍獅新明藥局,桃園市中壢區新明路６６號１樓,(03)2813361,1818,210,2020-10-22
3581,星康生活藥局,桃園市中壢區中美路二段94號,(03)4252869,3945,816,2020-10-22
3582,育康藥局,桃園市中壢區中正路３６６號,(03)4278266,2871,880,2020-10-22
3583,宜美大藥局,桃園市中壢區莊敬路７１６號,(03)4637687,3492,499,2020-10-22
3584,得康藥局,桃園市中壢區龍岡路二段８９、９１號,(03)4686738,0,1100,2020-10-22
3585,家佳聯合藥局,桃園市中壢區中光路１４號,(03)4273960,4090,865,2020-10-22
3586,安和藥局,桃園市中壢區龍東路３６８號１樓,(03)4378627,2655,770,2020-10-22
3587,東南藥局,桃園市中壢區慈惠三街１３７號,(03)4273116,1800,910,2020-10-22
3588,博士藥師藥局,桃園市中壢區健行路２２０號,(03)4280557,1152,1028,2020-10-22
3589,安利藥局,桃園市中壢區龍東路５０４號,(03)4562824,3035,116,2020-10-22
3590,佳敬藥局,桃園市中壢區莊敬路１６０號,(03)2713595,3836,990,2020-10-22
3591,仁心藥局,桃園市中壢區福州一街７９號,(03)4617575,2447,0,2020-10-22
3592,得群藥局,桃園市中壢區自強六路４２號,(03)4535953,0,400,2020-10-22
3593,美佑康活力藥局,桃園市中壢區五福里中正路６２７號,(03)2810018,4275,520,2020-10-22
3594,鴻安中西藥局,桃園市中壢區新中北路二段１９１號１樓,(03)4520615,4401,650,2020-10-22
3595,辰鴻藥局,桃園市中壢區環中東路１１０號,(03)4638639,5319,290,2020-10-22
3596,中壢民權藥局,桃園市中壢區民權路３２６、３２８號,(03)4014961,3843,320,2020-10-22
3597,長偕社區藥局,桃園市中壢區環中東路１６０號,(03)4631995,4728,400,2020-10-22
3598,杏一中壢天晟藥局,桃園市中壢區延平路１７３號１樓,(03)4554517,1593,1070,2020-10-22
3599,中民社區藥局,桃園市中壢區民族路二段１８２號,(03)4922642,1295,6,2020-10-22
3600,資生內壢大藥局,桃園市中壢區成章一街１６２號１樓,(03)4628651,3655,890,2020-10-22
3601,康華藥局,桃園市中壢區忠孝路１４號１樓,(03)4632313,967,9,2020-10-22
3602,佳華藥局,桃園市中壢區六和路４６號,(03)4278960,1499,1190,2020-10-22
3603,聖康藥局,桃園市中壢區洽溪里永平街６３號１樓,(03)2871491,986,392,2020-10-22
3604,中壢環東藥局,桃園市中壢區中山東路二段１９３號,(03)4562345,2748,2,2020-10-22
3605,博鈞藥局,桃園市中壢區元化路２２６號２樓,(03)4256093,1533,295,2020-10-22
3606,晟康健保藥局,桃園市中壢區永光里環北路４號１樓桃園市中壢區民權路二段３４號,(03)4950218,927,530,2020-10-22
3607,新資生榮民大藥局,桃園市中壢區興仁里榮民路１０３號,(03)4636831,3843,458,2020-10-22
3608,欣安藥局,桃園市中壢區龍岡路三段１７６號,(03)4285880,4374,558,2020-10-22
3609,中力藥局,桃園市中壢區復興路５４號,(03)4273119,2844,470,2020-10-22
3610,敏康藥局,桃園市中壢區福德路３４號之１樓,(03)4611961,2979,1000,2020-10-22
3611,環中藥局,桃園市中壢區環中東路１８１號,(03)4618873,3100,9,2020-10-22
3612,大順藥局,桃園市中壢區興仁路三段５６號,(03)4654675,3482,441,2020-10-22
3613,少同藥局,桃園市中壢區中正路四段５９０號,(03)4989082,828,970,2020-10-22
3614,德春藥局,桃園市中壢區中山路４４５號,(03)4933495,3476,0,2020-10-22
3615,內壢成章藥局,桃園市中壢區忠孝路１９８號,(03)4524123,3559,408,2020-10-22
3616,天晟社區藥局,桃園市中壢區新街里延平路１５１號１樓,(03)4629292,1125,1039,2020-10-22
3617,新資生信義大藥局,桃園市中壢區信義路１４７號,(03)4636831,2709,1020,2020-10-22
3618,大賀藥局,桃園市中壢區龍東路３９９號１樓,(03)4375977,27,0,2020-10-22
3619,樂謙藥師藥局,桃園市中壢區龍東路１３４號,(03)4662775,1834,266,2020-10-22
3620,思琁藥師藥局,桃園市中壢區中北路二段４３０號,(03)4162189,3387,481,2020-10-22
3621,生源藥局,桃園市中壢區中光路７１號,(03)4221606,2204,605,2020-10-22
3622,福安藥局,桃園市中壢區元化路２３２號,(03)4266000,4050,810,2020-10-22
3623,祥合藥局,桃園市中壢區中北路二段４３１號,(03)2841880,3393,210,2020-10-22
3624,幸一藥局,桃園市中壢區民族路４６號,(03)4013150,3195,0,2020-10-22
3625,鈞育藥局,桃園市中壢區吉林路１２７號,(03)4622031,2835,590,2020-10-22
3626,大崙大藥局,桃園市中壢區內厝里中正路４段１１３號,(03)4983597,3716,766,2020-10-22
3627,永崴大藥局,桃園市中壢區莊敬路７８３、７８５號,(03)4513537,2628,390,2020-10-22
3628,佑全中壢中正藥局,桃園市中壢區中正路１０８號１、２樓,(03)2807899,1800,750,2020-10-22
3629,政昇藥局,桃園市中壢區青峰路一段４３號９樓,(03)2873953,1167,1056,2020-10-22
3630,東興藥局,桃園市中壢區中北路２段３９號,(03)4282611,3399,510,2020-10-22
3631,內壢丁丁藥局,桃園市中壢區環中東路３２５號１樓,4535351,2034,320,2020-10-22
3632,佑全中壢中山藥局,桃園市中壢區中山東路二段２７號１樓,(03)4385373,5517,360,2020-10-22
3633,晴一藥局,桃園市中壢區民族路五段２５８號１樓,(03)4909427,3771,167,2020-10-22
3634,健新藥局,桃園市中壢區忠孝路８０號２樓,(03)4555750,1282,1037,2020-10-22
3635,劉藥局,桃園市中壢區中平路１６９號,(03)4223338,3249,439,2020-10-22
3636,千福藥局,桃園市中壢區高鐵站前西路二段８７號,(03)4533789,3060,780,2020-10-22
3637,田倉藥局,桃園市中壢區龍東路二五八號,(03)4379331,3663,146,2020-10-22
3638,福泰藥師藥局,桃園市中壢區慈惠三街１１２號１樓,(03)4224130,5548,385,2020-10-22
3639,新典藥局,桃園市中壢區龍東路４２５號,(03)4371986,981,940,2020-10-22
3640,康和藥局,桃園市中壢區中光路５３號一樓,(03)4253281,3066,8,2020-10-22
3641,佳倫藥局,桃園市中壢區內壢里忠孝路１５１號之一,(03)4358385,1449,480,2020-10-22
3642,宏瑞藥局,桃園市中壢區興仁路三段９５號,(03)4385067,988,547,2020-10-22
3643,冠昇藥局,桃園市中壢區慈惠三街１１７號２樓,(03)4260227,2655,164,2020-10-22
3644,澤仁藥局,桃園市中壢區中正路２６３號,(03)4252254,477,1020,2020-10-22
3645,福德藥局,桃園市中壢區福德路３０號,(03)4511208,6624,330,2020-10-22
3646,益昌藥局,桃園市中壢區龍岡路二段１２５號,(03)2842862,3303,870,2020-10-22
3647,佳佑藥局,桃園市中壢區環中東路二四一號,(03)4356190,1719,980,2020-10-22
3648,幸福藥局,桃園市中壢區中光路３號,(03)4223092,0,1120,2020-10-22
3649,永康藥局,桃園市中壢區中華路一段六九八號二樓,(03)4627301,2968,1218,2020-10-22
3650,美十藥局,桃園市中壢區健行路七九號一樓,(03)2840520,3733,895,2020-10-22
3651,慧康藥局,桃園市中壢區中北路二段１０１號１樓,(03)2840064,2169,710,2020-10-22
3652,康博藥局,桃園市中壢區元化路二七二號一樓,(03)4256302,1035,895,2020-10-22
3653,健康生活藥局,桃園市中壢區中山路二五號,(03)4272729,2574,590,2020-10-22
3654,上禾藥師藥局,桃園市中壢區新生路２１５號,(03)4269277,1725,1137,2020-10-22
3655,永豐藥局,桃園市中壢區民族路五段四六Ｏ號,(03)4205339,0,310,2020-10-22
3656,佳音健保藥局,桃園市中壢區興仁路一段１４４號２樓,(03)4516813,1535,939,2020-10-22
3657,祐達藥局,桃園市中壢區民族路二九八號,(03)4015995,4059,819,2020-10-22
3658,榮善堂藥局,桃園市中壢區前龍街九號,(03)4564946,2411,39,2020-10-22
3659,自立藥局,桃園市中壢區永福路１０１３號,(03)4558980,4653,1333,2020-10-22
3660,千葉大藥局,桃園市中壢區新生路三Ｏ七號,(03)4251886,5465,264,2020-10-22
3661,康林藥局,桃園市中壢區龍東路３５４號,(03)4659696,70,7,2020-10-22
3662,愛康藥師藥局,桃園市中壢區龍岡路一段２３０號１樓,(03)4285907,3654,410,2020-10-22
3663,中央藥局,桃園市中壢區中北路二段５６號,(03)4579676,4043,148,2020-10-22
3664,中壢聯合藥局,桃園市中壢區大同路１３１號,(03)4250641,5580,440,2020-10-22
3665,慈航藥局,桃園市大溪區康莊路１４４號,(03)3885511,5673,575,2020-10-22
3666,吉壽藥局,桃園市大溪區員林路三段４２號,(03)3802049,4685,842,2020-10-22
3667,吉新藥局,桃園市大溪區福仁里和平路２３號,(03)3882171,864,150,2020-10-22
3668,永耘藥局,桃園市大溪區介壽路６４號,(03)3804770,2646,600,2020-10-22
3669,資生大藥局,桃園市大溪區康莊路１３２號,(03)3882276,4751,840,2020-10-22
3670,田心藥局,桃園市大溪區和二路64號,(03)3874426,3294,852,2020-10-22
3671,濟德藥局,桃園市大溪區復興路一號一樓,(03)3883361,1116,1110,2020-10-22
3672,宜暉健保藥局,桃園市大溪區介壽路７１８號,(03)3806695,4289,169,2020-10-22
3673,安欣大藥局,桃園縣大溪鎮介壽路７５８號,(03)3893573,1548,960,2020-10-22
3674,甯慶藥局,桃園市大溪區介壽路１１７９號,(03)3801199,3870,160,2020-10-22
3675,德安堂藥局,桃園市大溪區介壽路８９２號,(03)3808173,6102,320,2020-10-22
3676,欣康藥局,桃園市大溪區員林路２段３９０－６號,(03)3076310,3924,850,2020-10-22
3677,明仁藥局,桃園市大溪區介壽路８１號１樓,(03)3804832,4077,220,2020-10-22
3678,叡安藥局,桃園市大溪區埔頂路一段４０８號,(03)3893015,3564,390,2020-10-22
3679,大溪藥局,桃園市大溪區康莊路１６０號,(03)3873873,3995,574,2020-10-22
3680,華生藥局,桃園市楊梅區埔心里中興路８９號,(03)4821839,1908,100,2020-10-22
3681,中美藥局,桃園市楊梅區埔心里中興路７７號,(03)4822483,18,320,2020-10-22
3682,弘大藥局,桃園市楊梅區大華街十三號,(03)4751858,2750,792,2020-10-22
3683,佳禾藥局,桃園市楊梅區永美路３３３號,(03)4827805,4014,700,2020-10-22
3684,佑健藥師藥局,桃園市楊梅區中山北路二段一Ｏ八號一樓,(03)4315478,3618,390,2020-10-22
