ID,NAME,ADDRESS,PHONE,ADULT_PSC,CHILD_PSC,UP_DATE
3685,京元藥局,桃園市楊梅區中興路３０號,(03)4829624,864,0,2020-10-22
3686,明禾藥局,桃園市楊梅區楊新北路１３號,(03)4755813,3753,850,2020-10-22
3687,家康藥師藥局,桃園市楊梅區文化街二三二之一號,(03)4810893,1519,708,2020-10-22
3688,德美藥局,桃園市楊梅區中正路８號,(03)2821668,2070,720,2020-10-22
3689,新康藥局,桃園市楊梅區成功路２２之１號二樓,(03)2821766,2528,270,2020-10-22
3690,成安藥局,桃園市楊梅區信義街一六、一八號,(03)4725463,3825,890,2020-10-22
3691,得康美藥局,桃園市楊梅區環南路１２８號１樓,(03)4788128,1902,289,2020-10-22
3692,合康美藥局,桃園市楊梅區中山北路二段７９號,(03)4812598,3267,840,2020-10-22
3693,天乙藥局,桃園市楊梅區新成路２０１號,(03)4756916,4332,290,2020-10-22
3694,瑞溪甯慶藥局,桃園市楊梅區瑞溪路一段２７１號,(03)4311999,1988,708,2020-10-22
3695,佳青藥局,桃園市楊梅區青山五街１６號１樓及地下一樓,(03)2755235,2277,960,2020-10-22
3696,弘安藥局,桃園市楊梅區新農街１５號,(03)4782115,3159,390,2020-10-22
3697,埔心藥局,桃園市楊梅區永美路２２５號,(03)4311539,3042,1030,2020-10-22
3698,宜康美藥局,桃園市楊梅區環東路４５２號,(03)4883805,1953,530,2020-10-22
3699,楊梅丁丁藥局,桃園市楊梅區中山北路二段２２７號,(03)4815486,1953,700,2020-10-22
3700,聖鑫藥局,桃園市楊梅區永美路３８９號１樓,(03)4311995,1350,450,2020-10-22
3701,躍獅天明藥局,桃園市楊梅區大成路１７７號,(03)2888295,3209,1378,2020-10-22
3702,資生楊梅大藥局,桃園市楊梅區楊新路１００號,(03)4636831,3456,1013,2020-10-22
3703,全球埔心大藥局,桃園市楊梅區永美路３９５號,(03)4824839,2061,200,2020-10-22
3704,楊梅藥局,桃園市楊梅區大成路１４８、１５０號,(03)4880776,945,7,2020-10-22
3705,家安藥局,桃園市楊梅區中興路１３２號,(03)4811626,1809,1068,2020-10-22
3706,佳品藥局,桃園市楊梅區大成路１０４號１樓,(03)4752927,2155,1088,2020-10-22
3707,南欣藥師藥局,桃園市蘆竹區錦中里南崁路２０５號,(03)3227038,279,1100,2020-10-22
3708,長榮藥師藥局,桃園市蘆竹區南崁路２１０號,(03)3520589,1107,900,2020-10-22
3709,九德藥局,桃園市蘆竹區中山路６９號,(03)3116868,0,240,2020-10-22
3710,杏洋藥局,桃園市蘆竹區南崁路１３４號,(03)3112799,2636,658,2020-10-22
3711,承安藥局,桃園市蘆竹區光明路一段十四號,(03)3115277,3402,1010,2020-10-22
3712,健康堂藥局,桃園市蘆竹區中正路３５３號,(03)3218828,3555,760,2020-10-22
3713,恆安藥局,桃園市蘆竹區忠孝西路卅六號,(03)2120206,1467,1100,2020-10-22
3714,福興藥局,桃園市蘆竹區大新路１７號,(03)3237217,2239,179,2020-10-22
3715,大吉藥局,桃園市蘆竹區大竹路４３６號,(03)3234375,1602,210,2020-10-22
3716,康而美聖安藥師藥局,桃園市蘆竹區南山路一段二之一號,(03)3228753,3861,980,2020-10-22
3717,大安藥局,桃園市蘆竹區大新路一Ｏ七號,(03)3137380,1053,120,2020-10-22
3718,英登藥局,桃園市蘆竹區南崁路三四四號,(03)2124606,3276,598,2020-10-22
3719,誼康藥局,桃園市蘆竹區奉化路一二六號,(03)3129045,2444,220,2020-10-22
3720,明安藥局,桃園市蘆竹區南竹路一之六號,(03)3527087,2646,1020,2020-10-22
3721,連安藥局,桃園市蘆竹區南崁路一一二號二樓,(03)3522333,1278,919,2020-10-22
3722,樺生藥師藥局,桃園市蘆竹區南崁路９６號,(03)3121821,3014,880,2020-10-22
3723,大竹藥師藥局,桃園市蘆竹區南竹路五段二五九號,(03)3232508,5260,1240,2020-10-22
3724,育境健保藥局,桃園市蘆竹區光明路二段２７２號１樓,(03)2122887,3581,561,2020-10-22
3725,南崁宜安藥師藥局,桃園市蘆竹區南崁路２４８號,(03)3220686,3483,0,2020-10-22
3726,文文藥局,桃園市蘆竹區南崁路１３１號２樓,(03)2129685,3033,160,2020-10-22
3727,奇點藥局,桃園市蘆竹區吉林路67號,(03)3111262,3340,800,2020-10-22
3728,德美藥師藥局,桃園市蘆竹區中山路159號１樓,(03)3125081,3699,939,2020-10-22
3729,上安藥局,桃園市蘆竹區中正路３５７之１號,(03)3219118,3672,1150,2020-10-22
3730,承昇藥局,桃園市蘆竹區桃園街８６號,(03)3211085,4104,260,2020-10-22
3731,喜多福藥局,桃園市蘆竹區山腳里南山路三段２６５號１樓,(03)3240083,2210,870,2020-10-22
3732,宜家藥局,桃園市蘆竹區大竹里大新路１０３號,(03)3236008,3627,550,2020-10-22
3733,竹康藥師藥局,桃園市蘆竹區大竹路５２５號,(03)3139657,4462,516,2020-10-22
3734,南竹健保藥局,桃園市蘆竹區南竹路一段７６號１樓,(03)3526182,3600,984,2020-10-22
3735,大新長青藥師藥局,桃園市蘆竹區大新路４６７號,(03)3131413,4167,790,2020-10-22
3736,全郁藥師藥局,桃園市蘆竹區新莊里大新路４５８、４６０號１樓,(03)3231101,3314,44,2020-10-22
3737,杏安藥局,桃園市蘆竹區大竹路５２９號,(03)3230491,775,439,2020-10-22
3738,知博藥師藥局,桃園市蘆竹區營盤里中山路１６０號,(03)2221886,1178,996,2020-10-22
3739,南崁藥師藥局,桃園市蘆竹區南榮里忠孝西路３號之１樓,(03)3126458,3555,1070,2020-10-22
3740,大葉藥局,桃園市蘆竹區中山路１３２號１樓,(03)3125347,3404,357,2020-10-22
3741,禾泰藥局,桃園市蘆竹區中山路９１號１樓,(03)3530297,4516,1005,2020-10-22
3742,柏霖藥局,桃園市蘆竹區中正路３５９號２樓,(03)2120284,1557,120,2020-10-22
3743,青新藥師藥局,桃園市蘆竹區南竹路五段２５１之１號,(03)3134328,5544,1070,2020-10-22
3744,悅兒藥局,桃園市蘆竹區忠孝西路１８６號,(03)3126967,4545,420,2020-10-22
3745,康維藥局,桃園市蘆竹區仁愛路一段２２號１樓,(03)3125330,2088,190,2020-10-22
3746,奇安藥局,桃園市蘆竹區南昌路２６９號,(03)2120207,3483,1190,2020-10-22
3747,政興藥局,桃園市蘆竹區南昌路２５４號,(03)3215544,3627,390,2020-10-22
3748,民生藥局,桃園市蘆竹區南昌路４５號,(090)6967212,358,1067,2020-10-22
3749,敏新藥局,桃園市蘆竹區海山路１４號,(03)3248202,3951,1020,2020-10-22
3750,青青藥師藥局,桃園市蘆竹區南山路三段３１３號１樓,(03)3240338,0,170,2020-10-22
3751,天康南崁藥局,桃園市蘆竹區南崁路２４５號,(03)2122569,4626,670,2020-10-22
3752,永青健康人生藥局,桃園市蘆竹區奉化路１４２號１樓,(03)3528361,5658,370,2020-10-22
3753,南崁藥局,桃園市蘆竹區中正路２５１、２５３、２５５號,(03)3522022,2370,960,2020-10-22
3754,安祐大藥局,桃園市蘆竹區忠孝西路１９２號,(03)2229195,1297,1100,2020-10-22
3755,辰安藥局,桃園市蘆竹區上興路２１６號１樓,(03)3136631,4716,200,2020-10-22
3756,健力藥局,桃園市蘆竹區奉化路１３６號,(03)2221918,1143,880,2020-10-22
3757,南崁丁丁藥局,桃園市蘆竹區南崁路一段５０號,(03)3115646,891,410,2020-10-22
3758,桃園大竹藥局,桃園市蘆竹區大竹路３６５號,(03)3235959,3641,1200,2020-10-22
3759,銘方大藥局,桃園市大園區大園里中華路３２號,(03)3865077,3528,630,2020-10-22
3760,大園藥局,桃園市大園區中華路４９號,(03)3865034,4568,240,2020-10-22
3761,永固安藥局,桃園市大園區中山南路五六號,(03)3867233,2070,1140,2020-10-22
3762,勝峰藥師藥局,桃園市大園區菓林里３鄰菓林路５１號１樓,(03)3835588,4407,955,2020-10-22
3763,保和大藥局,桃園市大園區大園里中山北路３６號,(03)3867448,0,430,2020-10-22
3764,家宏藥局,桃園市大園區祰林里三民路二段４６６號,(03)3838866,3501,930,2020-10-22
3765,國中藥局,桃園市大園區中山北路１２８號,(03)3852256,4162,525,2020-10-22
3766,唯新藥局,桃園市大園區忠孝一街１１號１樓,(03)3869380,3339,790,2020-10-22
3767,麒安藥局,桃園市大園區新生路８３號,(03)3858368,2204,1210,2020-10-22
3768,菓林村藥局,桃園市大園區菓林里菓林路１００號,(03)3832065,2886,530,2020-10-22
3769,快安藥師藥局,桃園市大園區新生北路４１號,(03)3856896,2664,0,2020-10-22
3770,利安藥局,桃園市大園區新生路１３５號,(03)3853315,2700,1080,2020-10-22
3771,新明藥局,桃園市大園區中華路７７號,(03)3851838,3186,340,2020-10-22
3772,德馨藥局,桃園市大園區中華路７２號,(03)3853586,2783,524,2020-10-22
3773,青埔長青藥師藥局,桃園市大園區新生路四段２５１號,(03)3815097,3461,450,2020-10-22
3774,新資生大園大藥局,桃園市大園區新生路９５、９７號一樓,(03)4636831,3368,60,2020-10-22
3775,輝安大藥局,桃園市龜山區中原街３號,(03)3290636,0,460,2020-10-22
3776,福民藥局,桃園市龜山區山鶯路１０８號,(03)3207779,1926,950,2020-10-22
3777,中聯藥局,桃園市龜山區龜山里中興路一段２７號,(03)3201741,4272,1478,2020-10-22
3778,高田藥師藥局,桃園市龜山區山鶯路７６號,(03)3336363,4032,327,2020-10-22
3779,德佑藥局,桃園市龜山區大崗里新興街２９３號,(03)3283556,538,930,2020-10-22
3780,宏仁藥局,桃園市龜山區萬壽路二段１０９５號,(03)3506590,3861,597,2020-10-22
3781,安康藥局,桃園市龜山區萬壽路二段９５７號一樓,(03)3597032,3051,840,2020-10-22
3782,安得福藥局,桃園市龜山區萬壽路一段２８１號,(02)82001467,9,10,2020-10-22
3783,誠安生活藥局,桃園市龜山區文化七路７９之２號,(03)3271997,99,900,2020-10-22
3784,光峰藥局,桃園市龜山區光峰路６７號,(03)3207630,4068,0,2020-10-22
3785,帕米爾藥局,桃園市龜山區萬壽路二段９９１號,(03)3295522,1665,729,2020-10-22
3786,和信藥局,桃園市龜山區南祥路５８號１樓,(03)2124028,72,420,2020-10-22
3787,德康藥局,桃園市龜山區復興三路３－３號,(03)3186468,2409,822,2020-10-22
3788,桃園龜山藥局,桃園市龜山區萬壽路二段８９６號,(03)3203312,5806,355,2020-10-22
3789,嘉惠中西藥局,桃園市龜山區文化七路７９－１號１樓,(03)3183837,3870,206,2020-10-22
3790,文青藥局,桃園市龜山區文青路２０２號,(03)3270581,2790,786,2020-10-22
3791,百佑藥局,桃園市龜山區中興路一段１８號,(03)3200428,2763,820,2020-10-22
3792,博爾康生活藥局,桃園市龜山區大同路２５０號１樓,(03)3506588,2660,1340,2020-10-22
3793,新資生龜山大藥局,桃園市龜山區大同里自強東路１號,(03)3290429,3494,1320,2020-10-22
3794,佑全藥局,桃園市龜山區幸福三街３１號,(03)3193036,3330,979,2020-10-22
3795,南崁南祥藥局,桃園市龜山區南祥路４６號,(03)2227733,2496,273,2020-10-22
3796,明昌藥局,桃園市龜山區中興里萬壽路二段１１９１－６號,(03)3501205,900,1119,2020-10-22
3797,家和藥局,桃園市龜山區建國東路９７號,(03)3196416,1251,1100,2020-10-22
3798,全興藥局,桃園市龜山區光峰路１５３號１樓,(03)3597901,5514,50,2020-10-22
3799,德亞藥局,桃園市龜山區大同路１號,(03)3198342,2745,1118,2020-10-22
3800,日心藥局,桃園市龜山區文化一路１０巷４１弄１號１樓,(03)3270557,1692,40,2020-10-22
3801,安博氏藥師藥局,桃園市龜山區文青路１８５號１樓,(03)3283185,4276,1069,2020-10-22
3802,佑昌藥局,桃園市龜山區民生北路一段５３４號,(03)3120760,1011,1119,2020-10-22
3803,穩好保健藥局,桃園市龜山區中興路１３７號,(03)3500088,0,260,2020-10-22
3804,長庚藥局,桃園市龜山區文化三路８１巷１號,(03)3181679,0,720,2020-10-22
3805,新資生文青大藥局,桃園市龜山區文青路２０９號,(03)4636831,3354,829,2020-10-22
3806,康旭藥局,桃園市龜山區復興一路２１２巷１７號２樓,(03)3288287,3897,0,2020-10-22
3807,安寶親子藥局,桃園市龜山區文化二路５１號,(03)3281688,3473,185,2020-10-22
3808,躍獅藥聯藥局,桃園市龜山區萬壽路２段９９３號,(03)3591976,3911,709,2020-10-22
3809,左外野藥局,桃園市龜山區文光街６號１樓,(03)3271503,306,670,2020-10-22
3810,泰麟大藥局,桃園市龜山區陸光路９６號,2133728,1024,239,2020-10-22
3811,維康藥局,桃園市龜山區復興一路８８號１樓,(03)3283880,2736,10,2020-10-22
3812,慶昇藥局,桃園市八德區桃鶯路一Ｏ二號,(03)3648037,4449,1044,2020-10-22
3813,厚仁藥局,桃園市八德區大義里永福街１１號,(03)3611071,5733,400,2020-10-22
3814,安慧藥局,桃園市八德區介壽路一段７３３號,(03)3636131,2799,0,2020-10-22
3815,日鴻藥局,桃園市八德區義勇街１７５號,(03)3763304,4095,360,2020-10-22
3816,壽德藥局,桃園市八德區桃德路八十四號,(03)3666350,4293,0,2020-10-22
3817,吉康生活藥局,桃園市八德區義勇街１２０號,(03)3768577,2844,0,2020-10-22
3818,健康中西藥師藥局,桃園市八德區桃鶯路４５號,(03)3638373,2827,479,2020-10-22
3819,信發藥局,桃園市八德區桃鶯路２４號,(03)3669276,4238,590,2020-10-22
3820,八德藥局,桃園市八德區廣褔路一七八號二樓,(03)3761856,594,1056,2020-10-22
3821,瑞誠藥局,桃園市八德區介壽路一段八九八之一號,(03)3669840,4071,614,2020-10-22
3822,上方藥局,桃園市八德區廣褔路一八八號,(03)3635902,1809,199,2020-10-22
3823,新大明藥局,桃園市八德區大明街二一號一樓,(03)3618284,2550,1016,2020-10-22
3824,興豐藥局,桃園市八德區介壽路二段一一七五號,(03)3654229,3861,1180,2020-10-22
3825,佳美大藥局,桃園市八德區介壽路一段六八八號,(03)3772239,3087,740,2020-10-22
3826,家恩藥局,桃園市八德區陸光街４５－１號,(03)3740554,5517,330,2020-10-22
3827,安平藥局,桃園市八德區興豐路６５２號１樓,(03)3732071,3483,1240,2020-10-22
3828,晨鴻藥師藥局,桃園市八德區桃鶯路７號１樓,(03)3764299,3780,987,2020-10-22
3829,我家藥局,桃園市八德區興豐路８３７號,(03)3732736,2267,1212,2020-10-22
3830,環球聯合藥局,桃園市八德區介壽路一段８３１號,(03)3756939,4139,289,2020-10-22
3831,東林藥局,桃園市八德區和義街１３號１樓,(03)3761129,873,310,2020-10-22
3832,佑兒康藥局,桃園市八德區永豐路５７０號,(03)3709680,3619,1119,2020-10-22
3833,成發藥局,桃園市八德區和平路２５０號,(03)3751696,2872,730,2020-10-22
3834,博泰藥局,桃園市八德區介壽路二段９８２號,(03)3731010,4072,739,2020-10-22
3835,新寶樹藥局,桃園市八德區介壽路一段９７４號,(03)3770000,4545,930,2020-10-22
3836,悅康藥局,桃園市八德區介壽路一段９１６號,(03)3662930,36,410,2020-10-22
3837,興豐丁丁藥局,桃園市八德區興豐路４３５號,(03)3689287,0,360,2020-10-22
3838,大躍藥局,桃園市八德區高城里高城路４８號１樓,(03)3786958,3314,201,2020-10-22
3839,誠泰藥局,桃園市八德區大千里東勇街５１－２號,(03)3649340,3924,1041,2020-10-22
3840,第二店廣福藥局,桃園市八德區廣福路９１號,(03)3660848,15,1126,2020-10-22
3841,柚兒藥局,桃園市八德區興仁里豐田三路７９號,(03)3652002,1159,100,2020-10-22
3842,介壽啄木鳥藥局,桃園市八德區介壽路二段１０６８號,(03)3656375,3817,1082,2020-10-22
3843,慈幼藥局,桃園市八德區忠勇六街７號,(03)3749915,902,767,2020-10-22
3844,奇異果藥局,桃園市八德區富城街１１２號,(03)3691764,3561,0,2020-10-22
3845,健民大藥局,桃園市八德區介壽路２段２８２號,(03)3666639,4401,250,2020-10-22
3846,成大藥局,桃園市八德區廣福路１４１號,(03)3661575,3465,180,2020-10-22
3847,嘉家藥局,桃園市八德區介壽路一段７８２號,(03)3749192,1854,230,2020-10-22
3848,鶯康藥局,桃園市八德區桃鶯路９５號,(03)3613624,1242,850,2020-10-22
3849,奕成健保大藥局,桃園市八德區興豐路６７３號１樓,(03)3732113,3024,1080,2020-10-22
3850,杏一八德介壽藥局,桃園市八德區介壽路一段７７１號１樓,(03)3665542,1620,0,2020-10-22
3851,宏昌藥局,桃園市八德區介壽路一段８９０號,(03)3639797,1377,940,2020-10-22
3852,康馥藥局,桃園市八德區金和路５３號１樓,(03)3749620,3877,436,2020-10-22
3853,禎佑示範藥局,桃園市八德區大智路７號,(03)3757241,1089,940,2020-10-22
3854,關西第一藥局,桃園市龍潭區中山里東龍路３０３巷２號,(03)4096375,1925,1098,2020-10-22
3855,博信藥師藥局,桃園市龍潭區中正路１３３號,(03)4895069,3798,370,2020-10-22
3856,全球藥局,桃園市龍潭區龍潭里北龍路１８５號,(03)4802710,3280,584,2020-10-22
3857,悅發藥局,桃園市龍潭區龍元路８６號,(03)4705098,4913,149,2020-10-22
3858,龍大藥局,桃園市龍潭區中正路一六九號,(03)4993793,3853,870,2020-10-22
3859,繕葆藥局,桃園市龍潭區中興路３０９號,(03)4803831,3386,878,2020-10-22
3860,華濟藥師聯合大藥局,桃園市龍潭區中正路136號,(03)4804428,5634,910,2020-10-22
3861,普善藥局,桃園市龍潭區北龍路３３３號,(03)4705877,826,518,2020-10-22
3862,達仁藥局,桃園市龍潭區北龍路２７０號,(03)4095166,5130,500,2020-10-22
3863,康熙藥局,桃園市龍潭區中正路１２８號,(03)4801508,27,580,2020-10-22
3864,弘安育藥局,桃園市龍潭區北龍路一四四號,(03)4808824,4592,752,2020-10-22
3865,１Ｏ１藥師聯合藥局,桃園市龍潭區中正路４４號,(03)4708593,3663,710,2020-10-22
3866,新龍藥局,桃園市龍潭區龍星里東龍路１７５號２樓,(03)4093719,189,1090,2020-10-22
3867,中興藥師藥局,桃園市龍潭區中興路３９９號,(03)4091005,2880,680,2020-10-22
3868,健康社區藥局,桃園市龍潭區中正路２９０號,(03)4992198,3177,250,2020-10-22
3869,全球龍正藥局,桃園市龍潭區中正路２３１號１樓,(03)4899639,3033,180,2020-10-22
3870,龍華藥局,桃園市龍潭區東龍路１６９號,(03)4701489,2908,1021,2020-10-22
3871,承融藥局,桃園市龍潭區中興里中興路２８２號,(03)4095543,3435,0,2020-10-22
3872,大立健保藥局,桃園市龍潭區民族路 １９２號１樓,(03)4093487,4260,513,2020-10-22
3873,愛心藥局,桃園市龍潭區五福街１５巷３號,(03)4706717,1350,320,2020-10-22
3874,龍青藥局,桃園市龍潭區龍青路７２號,(03)4890211,900,740,2020-10-22
3875,佳欣社區藥局,桃園市龍潭區中正路２６２號１樓,(03)4808717,1035,1030,2020-10-22
3876,龍潭北龍藥局,桃園市龍潭區北龍路２７５號,(03)4893123,2640,545,2020-10-22
3877,美和健保藥局,桃園市龍潭區中興路２０７號,(03)4790639,1352,1148,2020-10-22
3878,百年聯和藥局,桃園市龍潭區中豐路３００號,(03)4895268,4310,618,2020-10-22
3879,德聯藥師藥局,桃園市平鎮區龍南路３１號,(03)4603613,3574,1619,2020-10-22
3880,世新藥局,桃園市平鎮區廣泰路７５之２號,(03)4941234,20,498,2020-10-22
3881,北區藥師藥局,桃園市平鎮區中豐路山頂段２９７號,(03)4693629,3280,674,2020-10-22
3882,現代藥局,桃園市平鎮區育達路９６、９８號１樓,(03)4922716,2835,347,2020-10-22
3883,安心藥局,桃園市平鎮區上海路１８８號,(03)4398799,3488,280,2020-10-22
3884,名康藥局,桃園市平鎮區金陵路二段７２號,(03)4577559,3339,550,2020-10-22
3885,閤家康聯合藥局,桃園市平鎮區中豐路山頂段２５６號,(03)4194550,4868,881,2020-10-22
3886,壢新藥局,桃園市平鎮區廣泰路１２６號,(03)4950785,4,630,2020-10-22
3887,龍南藥局,桃園市平鎮區龍南路２００號１樓,(03)4609196,2292,1122,2020-10-22
3888,好的快藥局,桃園市平鎮區和平路１２３號１樓,(03)4574208,3787,2,2020-10-22
3889,全球和平藥局,桃園市平鎮區和平路１６０號１、２樓,(03)4683247,2176,206,2020-10-22
3890,新昕藥局,桃園市平鎮區東社里龍南路９２號１樓,(03)4509616,4197,260,2020-10-22
3891,文化藥局,桃園市平鎮區文化街９２號１樓,(03)4951356,0,280,2020-10-22
3892,唯康藥局,桃園市平鎮區中豐路南勢二段１４４號,(03)4396011,2349,130,2020-10-22
3893,譽達藥局,桃園市平鎮區育達路２４０號１樓,(03)4922990,1285,190,2020-10-22
3894,家樂藥局,桃園市平鎮區中豐路山頂段２７號１樓,(03)4191137,2520,800,2020-10-22
3895,南勢長青藥師藥局,桃園市平鎮區中豐路南勢二段５３１號,(03)4030060,2772,768,2020-10-22
3896,南勢藥局,桃園市平鎮區中豐路南勢二段１０８號,(03)4395663,6084,1620,2020-10-22
3897,天晴藥局,桃園市平鎮區和平路１２５號３樓,(03)4596503,1602,1162,2020-10-22
3898,平鎮中豐藥局,桃園市平鎮區中豐路山頂段１６４號,(03)4690939,3218,605,2020-10-22
3899,日安藥局,桃園市平鎮區復興街１０８號,(03)4916178,0,90,2020-10-22
3900,佳仁藥局,桃園市平鎮區平東路２４３號,(03)4609335,4824,770,2020-10-22
3901,平鎮延平藥局,桃園市平鎮區延平路二段４３０巷７９—１６號,(03)4918187,1845,1099,2020-10-22
3902,晨安藥局,桃園市平鎮區振興西路99號,(03)4925202,0,230,2020-10-22
3903,信泰藥局,桃園市平鎮區南豐路３３號,(03)4695253,4509,190,2020-10-22
3904,建德藥局,桃園市平鎮區北勢里金陵路１０３號,(03)4686662,2194,1195,2020-10-22
3905,大益藥局,桃園市平鎮區金陵路２２４號,(03)4578962,3402,60,2020-10-22
3906,天健示範藥局,桃園市平鎮區文化街２５２號,(03)4937169,3662,938,2020-10-22
3907,鼎祥藥局,桃園市平鎮區關爺北路四二號,(03)4679124,0,1100,2020-10-22
3908,優達藥局,桃園市平鎮區廣明路六六號,(03)4943488,2998,312,2020-10-22
3909,新英藥局,桃園市平鎮區中豐路208號1樓,(03)4687729,3804,102,2020-10-22
3910,康健複合式連鎖藥局,桃園市平鎮區金陵路三段９１號,(03)4684601,5013,510,2020-10-22
3911,瑞瑄社區大藥局,桃園市平鎮區中豐路南勢二段１６２號,(03)4396205,4158,270,2020-10-22
3912,美樂蒂藥局,桃園市平鎮區民族路二三七號二樓,(03)4023131,2502,580,2020-10-22
3913,宏興藥局,桃園市新屋區新生里中山路４０８號,(03)4773181,5825,364,2020-10-22
3914,新屋藥局,桃園市新屋區中華路２９４號,(03)4971008,1984,106,2020-10-22
3915,吉利藥師藥局,桃園市觀音區富源里新富路１７０５號,(03)4901701,5653,110,2020-10-22
3916,金永生藥局,桃園市觀音區觀音里甘泉街７號,(03)4732072,2484,840,2020-10-22
3917,新惠安藥局,桃園市觀音區崙坪里忠愛路一段３３號,(03)4981650,2909,130,2020-10-22
3918,廣福藥局,桃園市觀音區新坡里新生路４１號,(03)4984488,2254,0,2020-10-22
3919,東尼藥局,桃園市觀音區觀音里中正路２２０號,(03)4734567,2335,630,2020-10-22
3920,合春藥局,桃園市觀音區新坡里新生路４６號,(03)4982300,4581,190,2020-10-22
3921,國際藥局,桃園市觀音區草漯里新生路1547號,(03)4834475,306,268,2020-10-22
3922,松樹藥師藥局,桃園市觀音區中山路二段777號,(03)4988995,3783,17,2020-10-22
3923,德洋藥局,桃園市觀音區中山路二段九三九號,(03)4980527,527,981,2020-10-22
3924,弘宗藥局,桃園市觀音區中山路１５號,(03)4735659,4346,666,2020-10-22
3925,甘泉藥局,桃園市觀音區中正路２４２號,(03)4738659,756,0,2020-10-22
3926,福星藥局,桃園市觀音區大觀路二段２１３號１樓,(03)4389138,3276,1288,2020-10-22
3927,日昇藥局,桃園市觀音區成功路一段７８１號,(03)4834212,1350,870,2020-10-22
3928,德怡藥局,桃園市復興區澤仁里忠孝路３４號,(03)3821686,1623,1098,2020-10-22
